what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682170893159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682170896998
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1682170897696
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1682170900951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682170905230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682170916851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1682170919438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1682170919804
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1682170922307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682170924173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682170925137
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1682170927956
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1682170929034
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1682170929222
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1682170932406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682170969683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682170972212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682170973471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682171019109
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1682171069017
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1682171070149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682171071935
