what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1682150585600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1682150596713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1682150602020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1682150602317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1682150605039
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1682150608041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682150608973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682150609817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682150615802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682150617192
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1682150634143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1682150634654
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1682150634940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1682150637082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682150651963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682150654427
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1682150658266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1682150662097
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1682150664092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1682150670273
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1682150676057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1682150676365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1682150690520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1682150692237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682150696059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682150712195
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1682150722982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682150723805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682150726090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682150731652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682150768449
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1682150782816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682150785221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682150785799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682150792515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682150797768
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1682150797774
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1682150801455
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1682150804704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682150808661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682150814451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682150820042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682150824182
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1682150824190
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1682150824975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682150841530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682150854140
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1682150866734
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1682150871249
