what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1682226975601
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1682226980445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682226984736
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1682226988518
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1682226988882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682226990953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682226991098
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1682226992614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1682226994285
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682226996372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682226999246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682227002581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682227003443
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1682227007007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1682227010323
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1682227011367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682227013745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682227016604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682227018776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682227020072
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1682227024957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1682227026555
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1682227031514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682227047983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682227062675
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1682227063282
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1682227065027
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1682227065028
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1682227065031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1682227065686
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1682227065937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1682227066209
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1682227067327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682227068543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682227072337
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1682227077412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682227082263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682227083533
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1682227083539
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1682227084631
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1682227084836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682227089413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682227089521
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1682227090161
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1682227108855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1682227115991
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1682227117092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682227118292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682227119280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682227121347
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1682227122000
